Country,2019,2020,2021,2022,2023
Afghanistan,4252128.0,443933.0,1771595.0,2145135.0,3702720.0
Albania,3262071.0,2495693.0,2839323.0,2750573.0,2720727.0
Algeria,209079033.0,190969035.0,209618176.0,214346592.0,219621329.0
Angola,152742730.0,141484756.0,126232582.0,127727171.0,125154673.0
Argentina,93267515.0,85232583.0,90915560.0,97726569.0,105150651.0
Armenia,622609.0,572751.0,669621.0,588621.0,343590.0
Australia,2593778392.0,2562245620.0,2493526026.0,2512355255.0,2475532910.0
Austria,10044193.0,9584737.0,9931022.0,9167519.0,8863895.0
Azerbaijan,95947727.0,91411640.0,96650361.0,94626951.0,91147004.0
Bahamas,1327700.0,1440060.0,851420.0,1266760.0,1424840.0
Bahrain,36060140.0,36535810.0,36615264.0,35626422.0,35057810.0
Bangladesh,28200902.0,25824406.0,25898296.0,24388252.0,24767884.0
Barbados,68334.0,55991.0,50351.0,45469.0,45209.0
Belarus,23286384.0,21116305.0,23687429.0,14504220.0,20518210.0
Belgium,2440.0,2440.0,2440.0,2438.0,2438.0
Benin,1005.0,1005.0,1005.0,1005.0,1005.0
Bhutan,1400692.0,828580.0,1065132.0,1123512.0,2430000.0
Bolivia,21280012.0,19713699.0,21067400.0,20181389.0,17901197.0
Bosnia-Herzegovina,33315630.0,31986038.0,31552164.0,33045986.0,30778676.0
Botswana,28677288.0,21553597.0,27772021.0,30167517.0,30200067.0
Brazil,935660345.0,930389865.0,973821741.0,963205308.0,1036304094.0
Brunei,22096184.0,20622765.0,19570938.0,17377386.0,17116615.0
Bulgaria,68182491.0,52802228.0,66050000.0,80162534.0,49725307.0
Burkina Faso,269646.0,230469.0,244439.0,111310.0,65294.0
Burundi,1576.0,2050.0,1652.0,1281.0,1365.0
Cambodia,36860.0,167938.0,138831.0,73323.0,165836.0
Cameroon,8841788.0,9076501.0,8757998.0,8689422.0,8468421.0
Canada,1093989740.0,1054879602.0,1097123131.0,1135649851.0,1150419288.0
Cape Verde,2000.0,5170.0,5242.0,5200.0,5200.0
Central African Republic,27909.0,62241.0,93611.0,119559.0,113471.0
Chad,12633400.0,12606000.0,11598600.0,12321200.0,13329200.0
Chile,62763821.0,61866323.0,61711223.0,64357938.0,65521764.0
China,8567958068.0,8672851020.0,9150145558.0,10059664938.0,10368713758.0
Christmas Island,255460.0,162460.0,200440.0,190340.0,283800.0
Colombia,277916803.0,204307757.0,213660764.0,221379986.0,227037692.0
"Congo, D.R.",18844037.0,19024225.0,19467724.0,17708890.0,16671288.0
"Congo, Rep.",34088515.0,31249216.0,28121269.0,27063555.0,27579002.0
Costa Rica,12505.0,8601.0,33572.0,30075.0,30801.0
Cote d'Ivoire,6340461.0,6377590.0,5163530.0,5548246.0,6398154.0
Croatia,2793563.0,2562677.0,2552412.0,2490747.0,2333071.0
Cuba,7043783.0,6901531.0,6939067.0,6744276.0,6263143.0
Cyprus,1414852.0,1478517.0,1485660.0,1549664.0,1586702.0
Czechia,91131684.0,71159291.0,72175329.0,78763115.0,67572043.0
Denmark,14069108.0,9771813.0,9128494.0,9046459.0,8354880.0
Dominican Republic,923037.0,846067.0,1022446.0,1241086.0,874628.0
Ecuador,53261712.0,48206215.0,47531800.0,48388337.0,47817183.0
Egypt,122041341.0,114695888.0,118997051.0,117255218.0,111384892.0
El Salvador,60000.0,60000.0,60000.0,60000.0,60000.0
Equatorial Guinea,19339475.0,19133003.0,17483377.0,17251245.0,13687163.0
Eritrea,977862.0,1031681.0,1062565.0,1020362.0,1011982.0
Estonia,31394800.0,24288800.0,23486000.0,27934000.0,26724000.0
Eswatini,219858.0,323537.0,325362.0,431166.0,786679.0
Ethiopia,379358.0,485153.0,494175.0,739737.0,736815.0
Fiji,73600.0,71970.0,100531.0,58660.0,55754.0
Finland,4440364.0,4468602.0,4536629.0,4438818.0,4201671.0
France,23178880.0,19996769.0,21132796.0,21861740.0,17904960.0
French Guiana,1158.0,1059.0,1226.0,936.0,1111.0
Gabon,28383971.0,29352357.0,28899761.0,30117082.0,31427877.0
Georgia,850576.0,970108.0,1119910.0,931668.0,1161493.0
Germany,334182290.0,281943736.0,329050381.0,329403550.0,262874449.0
Ghana,27768141.0,25785696.0,22516413.0,21727614.0,20750348.0
Greece,65451294.0,37647941.0,35547452.0,38409165.0,30432391.0
Guatemala,1421978.0,1822224.0,1285008.0,1371922.0,1228676.0
Guinea,140603568.0,176590463.0,177534182.0,207746478.0,246330545.0
Guyana,4031027.0,8673363.0,12939288.0,29386220.0,40329478.0
Honduras,301539.0,342533.0,350199.0,383143.0,398685.0
Hungary,17559776.0,15850464.0,13575698.0,13504769.0,11952218.0
Iceland,1375232.0,1393978.0,1401714.0,1470788.0,1515808.0
India,2113698954.0,2015549859.0,2209745296.0,2475235341.0,2699088568.0
Indonesia,1382475386.0,1328681884.0,1331969101.0,1565848588.0,1703528714.0
Iran,632086007.0,622045934.0,679977917.0,716051590.0,792342452.0
Iraq,480444767.0,412966705.0,411427851.0,452740789.0,436995450.0
Ireland,2593002.0,2057577.0,1593625.0,1490933.0,1174731.0
Israel,14840239.0,19063339.0,21416213.0,23006710.0,24833237.0
Italy,24024720.0,22978065.0,21739963.0,23045694.0,20279292.0
Jamaica,18174572.0,15243878.0,12050400.0,8918400.0,12137200.0
Japan,12146379.0,11563831.0,11239032.0,11339159.0,10624179.0
Jordan,10153627.0,10076240.0,11252338.0,14531912.0,29277154.0
Kazakhstan,496039011.0,484492330.0,489393772.0,482021795.0,492770079.0
Kenya,727493.0,709892.0,654502.0,798607.0,598696.0
"Korea, North",44713680.0,41976780.0,35198660.0,36510240.0,38281460.0
"Korea, South",9955389.0,9991325.0,11035042.0,11047857.0,10151549.0
Kosovo,16146842.0,17099716.0,17098082.0,16525154.0,13860658.0
Kuwait,310907316.0,283280131.0,283621534.0,313533818.0,307140935.0
Kyrgyzstan,6101176.0,5676857.0,6839867.0,8455931.0,9204749.0
Laos,33644163.0,33363966.0,36533796.0,41201526.0,50635938.0
Latvia,636900.0,718380.0,767980.0,0.0,696140.0
Lebanon,6000.0,6000.0,6000.0,6000.0,6000.0
Lesotho,1113526.0,481243.0,339452.0,548150.0,471745.0
Liberia,5375403.0,5908200.0,5110898.0,5347120.0,4390503.0
Libya,137766030.0,56365530.0,131347410.0,116546610.0,129063470.0
Lithuania,251220.0,205760.0,203820.0,183074.0,158626.0
Madagascar,1030309.0,1000191.0,1316796.0,1232242.0,1164178.0
Malawi,113656.0,115772.0,66537.0,125582.0,129322.0
Malaysia,133539473.0,123706623.0,120076794.0,126841380.0,127921743.0
Mali,69809.0,74274.0,72472.0,75275.0,75676.0
Malta,4000.0,4000.0,4000.0,4000.0,4000.0
Mauritania,16359008.0,16798121.0,16554597.0,17215155.0,18597577.0
Mauritius,1140.0,1112.0,1586.0,1348.0,498.0
Mexico,301357233.0,299878863.0,297515993.0,297399848.0,306259666.0
Moldova,562864.0,595264.0,625744.0,549704.0,370232.0
Mongolia,101283041.0,89595360.0,79271747.0,84645065.0,161468603.0
Montenegro,4858894.0,5010480.0,4259892.0,4426712.0,4843602.0
Morocco,28069737.0,27488188.0,29017351.0,25040307.0,24038659.0
Mozambique,28115151.0,23252681.0,30169417.0,38460247.0,45215373.0
Myanmar,22741557.0,21994288.0,19184172.0,19230973.0,20297791.0
Namibia,4291681.0,3922512.0,3868835.0,4704641.0,5100186.0
Nauru,61200.0,78800.0,205000.0,195000.0,108800.0
Nepal,30234.0,29502.0,41428.0,17782.0,13856.0
Netherlands,39035418.0,31582271.0,30577005.0,26344160.0,19537596.0
New Caledonia,419776.0,403144.0,375568.0,403442.0,471350.0
New Zealand,16816057.0,16603956.0,15822874.0,15059475.0,13751361.0
Nicaragua,216428.0,267672.0,182634.0,223010.0,256099.0
Niger,2271001.0,2214297.0,1967203.0,2036330.0,2187165.0
Nigeria,241444155.0,224806748.0,196882526.0,176660821.0,182530792.0
North Macedonia,10906682.0,9737920.0,10295261.0,11811830.0,8976491.0
Norway,257292494.0,282149378.0,288635649.0,285733348.0,291440476.0
Oman,150298056.0,148109778.0,157079264.0,161924920.0,166775140.0
Pakistan,67663589.0,68298255.0,70135634.0,68059791.0,75861911.0
Panama,386861.0,513326.0,792092.0,838296.0,810599.0
Papua New Guinea,7063149.0,7106793.0,6861761.0,8447474.0,7982397.0
Paraguay,21000.0,21000.0,21000.0,21000.0,21000.0
Peru,64055358.0,56440875.0,65336809.0,68105223.0,69713438.0
Philippines,38258535.0,33386166.0,34973294.0,37240713.0,37665511.0
Poland,245051349.0,220542966.0,235538244.0,235210210.0,195293978.0
Portugal,2065231.0,2093858.0,2394331.0,2388140.0,2258839.0
Qatar,282684030.0,283518420.0,285100300.0,288754330.0,292645494.0
Romania,64961826.0,49047951.0,54618789.0,55250383.0,47612078.0
Russia,2856631254.0,2630315763.0,2763882625.0,2718518572.0,2667429520.0
"Russia, Asia",2396151310.0,2202193399.0,2329395750.0,2333351339.0,2255106821.0
"Russia, Europe",460479944.0,428122364.0,434486874.0,385167233.0,412322699.0
Rwanda,10882.0,8882.0,10462.0,12482.0,12772.0
Saudi Arabia,1251077662.0,1179907903.0,1175068956.0,1296948870.0,1212287943.0
Senegal,3095693.0,2788785.0,3029324.0,3145821.0,3089780.0
Serbia,80547787.0,82035409.0,75600733.0,73242190.0,66872659.0
Sierra Leone,5777550.0,3651749.0,5910741.0,11985487.0,15720295.0
Slovakia,6338705.0,4962833.0,5176309.0,4629153.0,3422210.0
Slovenia,6584362.0,6626328.0,5699576.0,5537545.0,6068307.0
Solomon Islands,2468060.0,1683780.0,0.0,146.0,4110.0
South Africa,652562776.0,608865915.0,608856427.0,591791489.0,590533300.0
South Sudan,16896980.0,16252460.0,15031400.0,13895720.0,14545420.0
Spain,39530115.0,41662871.0,45598555.0,43606154.0,42374392.0
Sri Lanka,406804.0,344770.0,419394.0,447566.0,383098.0
Sudan,8637259.0,6819937.0,5809351.0,5879744.0,5319424.0
Suriname,1674941.0,1658035.0,1641853.0,1694561.0,1728331.0
Sweden,40980142.0,42403619.0,42201008.0,39862344.0,40436828.0
Switzerland,1614650.0,1289054.0,1685400.0,1505330.0,1406366.0
Syria,6196510.0,7707280.0,7796470.0,7110980.0,6938380.0
Taiwan,684611.0,579018.0,631527.0,562069.0,543584.0
Tajikistan,4763156.0,4620195.0,4764182.0,5359650.0,4687241.0
Tanzania,4127068.0,4244625.0,5355530.0,9163416.0,10454657.0
Thailand,104128811.0,97842619.0,99992405.0,91155859.0,85977186.0
