Country,Income_per_capita_USD
Africa Eastern and Southern,1568
Africa Western and Central,1284
Angola,2122
Albania,10012
Andorra,49304
Arab World,7521
United Arab Emirates,49378
Argentina,13858
Armenia,8501
Antigua and Barbuda,23726
Australia,64407
Austria,56833
Azerbaijan,7284
Burundi,154
Belgium,55955
Benin,1485
Burkina Faso,987
Bangladesh,2593
Bulgaria,17412
Bahrain,30048
Bahamas,39455
Bosnia-Herzegovina,8957
Belarus,8317
Belize,8430
Bermuda,138935
Bolivia,4001
Brazil,10280
Barbados,25366
Brunei,33418
Botswana,7695
Central African Republic,516
Canada,54283
Central Europe and the Baltics,24543
Switzerland,103670
Chile,16710
China,13303
Cote d'Ivoire,2710
Cameroon,1762
"Congo, D.R.",647
"Congo, Rep.",2482
Colombia,7914
Comoros,1784
Cape Verde,5273
Costa Rica,18587
Caribbean small states,20174
Cyprus,38654
Czechia,31707
Germany,55800
Djibouti,3496
Dominica,10405
Denmark,71852
Dominican Republic,10876
Algeria,5631
East Asia & Pacific (excluding high income),10397
Early-demographic dividend,4510
East Asia & Pacific,13349
Europe & Central Asia (excluding high income),9669
Europe & Central Asia,31393
Ecuador,6875
Egypt,3338
Euro area,46724
Spain,35297
Estonia,31170
European Union,43145
Fragile and conflict affected situations,1572
Finland,53189
Fiji,6288
France,46150
"Micronesia, Fed. Sts.",4166
Gabon,8219
United Kingdom,52637
Georgia,9194
Ghana,2406
Guinea,1717
Gambia,909
Guinea-Bissau,963
Equatorial Guinea,6745
Greece,24752
Grenada,11872
Guatemala,6150
Guyana,29884
High income,50444
"Hong Kong SAR, China",54107
Honduras,3426
Heavily indebted poor countries (HIPC),1203
Croatia,23931
Haiti,2143
Hungary,23311
IBRD only,8254
IDA & IBRD total,6341
IDA total,1442
IDA blend,1566
Indonesia,4925
IDA only,1388
India,2697
Ireland,107316
Iran,4771
Iraq,6074
Iceland,82704
Israel,54177
Italy,40226
Jamaica,7020
Jordan,4618
Japan,32476
Kazakhstan,14005
Kenya,2206
Kyrgyzstan,2419
Cambodia,2628
Kiribati,2289
St. Kitts and Nevis,22771
Kuwait,32214
Latin America & Caribbean (excluding high income),10345
Laos,2124
Liberia,846
Libya,6318
St. Lucia,14182
Latin America & Caribbean,11045
Least developed countries: UN classification,1259
Low income,747
Sri Lanka,4516
Lower middle income,2518
Low & middle income,5975
Lesotho,972
Late-demographic dividend,12843
Lithuania,29386
Luxembourg,137517
Latvia,23368
"Macao SAR, China",73047
Morocco,3993
Moldova,7618
Madagascar,545
Maldives,13216
"Middle East, North Africa, Afghanistan & Pakistan",6181
Mexico,14158
Marshall Islands,7467
Middle income,6524
North Macedonia,9310
Mali,1086
Malta,42347
Myanmar,1359
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2904
Montenegro,12935
Mongolia,6691
Mozambique,647
Mauritania,2083
Mauritius,11872
Malawi,508
Malaysia,11867
North America,82406
Namibia,4413
Niger,723
Nigeria,807
Nicaragua,2848
Netherlands,68219
Norway,86810
Nepal,1447
Nauru,13422
New Zealand,48747
OECD members,48455
Oman,20248
Other small states,15868
Pakistan,1485
Panama,19103
Peru,8452
Philippines,3985
Papua New Guinea,3076
Poland,25023
Pre-demographic dividend,1290
Puerto Rico (US),39285
Portugal,28844
Paraguay,6416
West Bank and Gaza,2592
Pacific island small states,4399
Post-demographic dividend,55866
Qatar,76276
Romania,20072
Russia,14889
Rwanda,1000
South Asia,2692
Saudi Arabia,35057
Sudan,989
Senegal,1744
Singapore,90674
Solomon Islands,2149
Sierra Leone,873
El Salvador,5580
"Somalia, Fed. Rep.",637
Serbia,13524
Sub-Saharan Africa (excluding high income),1506
Sub-Saharan Africa,1441
Small states,15292
Sao Tome and Principe,3245
Suriname,7431
Slovakia,26148
Slovenia,34089
Sweden,57723
Eswatini,3936
Sint Maarten (Dutch part),40028
Seychelles,17859
Turks and Caicos Islands,37507
Chad,1016
East Asia & Pacific (IDA & IBRD countries),10514
Europe & Central Asia (IDA & IBRD countries),13258
Togo,1043
Thailand,7345
Tajikistan,1341
Turkmenistan,8572
Latin America & the Caribbean (IDA & IBRD countries),10784
Timor-Leste,1343
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2906
South Asia (IDA & IBRD),2692
Sub-Saharan Africa (IDA & IBRD countries),1441
Trinidad and Tobago,19315
Tunisia,4350
Türkiye,15473
Tanzania,1186
Uganda,1073
Ukraine,5389
Upper middle income,10962
Uruguay,23907
United States,85810
Uzbekistan,3162
St. Vincent and the Grenadines,11501
Vietnam,4717
Vanuatu,3543
World,13664
Samoa,4899
Kosovo,7299
South Africa,6253
Zambia,1235
Zimbabwe,2656
