"6.1.1. Total Minerals Production, by Continents not included bauxite, in metr. t; column A continents, column B to AO years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continents,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,491277838,553611145,560389452,558162223,578429601,611700950,629191234,645653677,631548263,641442391,652593419,686972850,680883877,713277901,720075978,732165377,765733161,773456477,781715961,833951331,890333467,944557106,957844493,975719824,996725521,963712118,1009671531,929025242,993631415,964096118,947213151,939891370,917432452,969336698,992897383,998225008,896932075,933575006,913973194,927854915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,3621311795,3739473268,3967356364,4077926753,4279286059,4535660970,4575870072,4532820491,4552094570,4617161822,4593040086,4820268566,4880406639,4969566025,4967282473,4929839618,5051164647,5170060483,5355827787,5970984174,6538129535,7067753045,7554057409,7955801973,8290257889,8324850637,8922128223,9530841778,9735700418,9857873162,9797198304,9815140126,9682393090,9944184048,10329632573,10592967438,10301138016,10804463897,11626738606,11957750246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2343687167,2434569522,2471557140,2485274829,2472914295,2424486765,2260313985,2123060349,1988491302,1874985573,1826668411,1833548690,1832372740,1827942589,1747147595,1721201321,1755973081,1753407523,1777355518,1778623013,1788545139,1749879233,1728775009,1717633543,1700370530,1606084844,1621761725,1638536469,1618154598,1574067804,1509068627,1487101353,1449109173,1458417631,1417052621,1276824789,1173033151,1205032691,1140094284,1043822213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,562918109,566395211,573958486,563610024,591044007,613513369,646514806,663144692,670905309,686940025,720466025,746479446,777575760,814134583,887199743,879241004,908631865,916258957,922162854,955349598,1033685411,1068298139,1105968273,1131869785,1122218524,1065802292,1128449576,1168479625,1181829248,1168415827,1201403782,1194436784,1169355709,1156520392,1109116682,1039472806,960463344,995298567,1018855456,1074998363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2059724620,2071063053,2027980977,2072705805,2141270229,2164117026,2203364391,2184274275,2181844083,2143538949,2262153843,2273227243,2316670697,2351638894,2356329541,2327927155,2324941284,2357596851,2322570961,2283577245,2355162356,2343744813,2381080452,2371567898,2403886981,2295422815,2355466902,2432757654,2440184070,2494642392,2644338540,2632174028,2444166326,2576221052,2767426206,2867314270,2662642924,2742105848,2865150127,2968847331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,254010287,280261932,292796449,322233565,304067006,332116920,347898842,362385522,374707983,386115067,392630850,415408333,429772081,462884590,477138947,484477447,515493083,542815415,560044299,573950955,597642134,629117525,643031154,673978453,708088184,728764460,800407137,816981766,865331454,960310824,1067583509,1137741802,1167409169,1195600041,1220905515,1259676719,1248487220,1219826533,1236000473,1217308089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,9332929816,9645374131,9894038868,10079913199,10367011197,10681596000,10663153330,10511339006,10399591510,10350183827,10447552634,10775905128,10917681794,11139444582,11155174277,11074851922,11321937121,11513595706,11719677380,12396436316,13203498042,13803349861,14370756790,14826571476,15221547629,14984637166,15837885094,16516622534,16834831203,17019406127,17166805913,17206485463,16829865919,17300279862,17837030980,18034481030,17242696730,17900302542,18800812140,19190581157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
