Mineral,Rank,Country,Production_2023_t,Share_pct
Iron (Fe),1,Australia,589029943.0,37.71123921994355
Iron (Fe),2,Brazil,273992879.0,17.54174151470946
Iron (Fe),3,China,190937600.0,12.2243250878027
Iron (Fe),4,India,170340800.0,10.905664022782219
Iron (Fe),5,Russia,53572000.0,3.429819708657521
Copper,1,Chile,5250400.0,23.37773859917815
Copper,2,"Congo, D.R.",2842022.0,12.654282989698594
Copper,3,Peru,2755244.0,12.267898447538094
Copper,4,China,1830000.0,8.148190925738234
Copper,5,United States,1130000.0,5.031396582559674
Aluminium,1,China,41979700.0,59.41089866051525
Aluminium,2,India,4126500.0,5.839943432721438
Aluminium,3,Russia,4028000.0,5.700543353205369
Aluminium,4,Canada,3274901.0,4.634735632560977
Aluminium,5,United Arab Emirates,2660000.0,3.7645097615507153
Nickel,1,Indonesia,2028800.0,54.992251806398436
Nickel,2,Philippines,389000.0,10.544157113904275
Nickel,3,New Caledonia,233375.0,6.32581662328383
Nickel,4,Russia,211300.0,5.727456036421525
Nickel,5,Australia,149090.0,4.0412040722673215
Zinc,1,China,4130000.0,32.98303697582128
Zinc,2,Peru,1469127.0,11.732753066144646
Zinc,3,Australia,1098290.0,8.771171835393401
Zinc,4,India,853400.0,6.815429480669704
Zinc,5,United States,767000.0,6.125421152652523
Gold,1,China,375155.0,11.485211017083545
Gold,2,Russia,312800.0,9.576239170859333
Gold,3,Australia,296053.0,9.063536877399034
Gold,4,Canada,191035.0,5.848455402829644
Gold,5,United States,170000.0,5.204477810249638
Silver,1,Mexico,7277840.0,27.315994414323086
Silver,2,China,3399600.0,12.759754901307636
Silver,3,Peru,3041394.0,11.41529650497342
Silver,4,Russia,1550000.0,5.817631514597845
Silver,5,Bolivia,1350216.0,5.067780098783383
Steam Coal,1,China,3821084000.0,54.43789250696376
Steam Coal,2,India,931005000.0,13.263762354725987
Steam Coal,3,Indonesia,769103900.0,10.95720361941444
Steam Coal,4,United States,426601300.0,6.077666890529232
Steam Coal,5,Australia,233043000.0,3.3200970676123203
Petroleum,1,United States,909154300.0,19.995747931956124
Petroleum,2,Saudi Arabia,531963600.0,11.699895226339395
Petroleum,3,Russia,530600000.0,11.669904495525039
Petroleum,4,Canada,277851300.0,6.111002892871233
Petroleum,5,Iran,214298210.0,4.7132296348699
Natural Gas,1,United States,1070480.0,25.737802746410708
Natural Gas,2,Russia,616200.0,14.815441719918427
Natural Gas,3,Iran,266250.0,6.401511453956964
Natural Gas,4,China,232430.0,5.588369229082505
Natural Gas,5,Canada,191252.0,4.598316877341511
