year,material,value_tonnes
2000,Gold,200
2000,Silver,1000
2000,Copper,30000
2001,Gold,250
2001,Silver,1120
2001,Copper,31700
2002,Gold,300
2002,Silver,1200
2002,Copper,33400
2003,Gold,320
2003,Silver,1320
2003,Copper,35100
2004,Gold,370
2004,Silver,1400
2004,Copper,36000
2005,Gold,420
2005,Silver,1520
2005,Copper,37700
2006,Gold,440
2006,Silver,1600
2006,Copper,39400
2007,Gold,490
2007,Silver,1720
2007,Copper,41100
2008,Gold,540
2008,Silver,1800
2008,Copper,42000
2009,Gold,560
2009,Silver,1920
2009,Copper,43700
2010,Gold,610
2010,Silver,2000
2010,Copper,45400
2011,Gold,660
2011,Silver,2120
2011,Copper,47100
2012,Gold,680
2012,Silver,2200
2012,Copper,48000
2013,Gold,730
2013,Silver,2320
2013,Copper,49700
2014,Gold,780
2014,Silver,2400
2014,Copper,51400
2015,Gold,800
2015,Silver,2520
2015,Copper,53100
2016,Gold,850
2016,Silver,2600
2016,Copper,54000
2017,Gold,900
2017,Silver,2720
2017,Copper,55700
2018,Gold,920
2018,Silver,2800
2018,Copper,57400
2019,Gold,970
2019,Silver,2920
2019,Copper,59100
2020,Gold,1020
2020,Silver,3000
2020,Copper,60000
